GAME_ID,GAME_DATE,SEASON,GAME_STATUS,HOME_TEAM_ID,VISITOR_TEAM_ID,MATCHUP,HOME_WINS,PTS_home,PTS_away,HOME_WIN_PROB,CORRECT,HOME_TEAM_RUNNING_ACCURACY,VISITOR_TEAM_RUNNING_ACCURACY,HOME_ROLE_RUNNING_ACCURACY,AWAY_ROLE_RUNNING_ACCURACY,OVERALL_RUNNING_ACCURACY,RECENT_FLAG,HOME_TEAM_NAME,VISITOR_TEAM_NAME,SCORE_DIFF,PREDICTION_CONFIDENCE
22500208,2025-11-11,2025,Upcoming,1610612752,1610612763,Memphis Grizzlies @ New York Knicks,,0,0,0.77757716,,0.6666666666666666,0.7142857142857143,0.6258064516129033,0.6258064516129033,0.6258064516129033,,New York Knicks,Memphis Grizzlies,,0.27757716
22500211,2025-11-11,2025,Upcoming,1610612762,1610612754,Indiana Pacers @ Utah Jazz,,0,0,0.5846601,,0.6,0.5,0.6258064516129033,0.6258064516129033,0.6258064516129033,,Utah Jazz,Indiana Pacers,,0.08466011
22500207,2025-11-11,2025,Upcoming,1610612751,1610612761,Toronto Raptors @ Brooklyn Nets,,0,0,0.27886808,,0.7777777777777778,0.4,0.6258064516129033,0.6258064516129033,0.6258064516129033,,Brooklyn Nets,Toronto Raptors,,0.22113192
22500210,2025-11-11,2025,Upcoming,1610612760,1610612744,Golden State Warriors @ Oklahoma City Thunder,,0,0,0.8038137,,0.8571428571428571,0.4,0.6258064516129033,0.6258064516129033,0.6258064516129033,,Oklahoma City Thunder,Golden State Warriors,,0.3038137
22500212,2025-11-11,2025,Upcoming,1610612758,1610612743,Denver Nuggets @ Sacramento Kings,,0,0,0.32799366,,0.8,0.4,0.6258064516129033,0.6258064516129033,0.6258064516129033,,Sacramento Kings,Denver Nuggets,,0.17200634
22500209,2025-11-11,2025,Upcoming,1610612755,1610612738,Boston Celtics @ Philadelphia 76ers,,0,0,0.5283973,,0.7,0.5454545454545454,0.6258064516129033,0.6258064516129033,0.6258064516129033,,Philadelphia 76ers,Boston Celtics,,0.028397322
22500001,2025-10-21,2025,Completed,1610612760,1610612745,Houston Rockets @ Oklahoma City Thunder,1.0,125,124,0.6878488,True,1.0,1.0,0.5,0.5,0.5,False,Oklahoma City Thunder,Houston Rockets,1.0,0.1878488
22500002,2025-10-21,2025,Completed,1610612747,1610612744,Golden State Warriors @ Los Angeles Lakers,0.0,109,119,0.563446,False,0.0,0.0,0.5,0.5,0.5,False,Los Angeles Lakers,Golden State Warriors,-10.0,0.063445985
22500080,2025-10-22,2025,Completed,1610612766,1610612751,Brooklyn Nets @ Charlotte Hornets,1.0,136,117,0.4636381,False,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,False,Charlotte Hornets,Brooklyn Nets,19.0,0.036361903
22500003,2025-10-22,2025,Completed,1610612752,1610612739,Cleveland Cavaliers @ New York Knicks,1.0,119,111,0.451072,False,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,False,New York Knicks,Cleveland Cavaliers,8.0,0.048927993
